Municipio,Cant. Habitantes,Adhesión FRICDe,Estado Digital,Trámites digitales,Salud,Educación,Medioambiente,Seguridad,App Municipal,Transparencia,Estado Digital - Confianza,Estado Digital - Estado,App - Confianza,App - Estado,Salud - Confianza,Salud - Estado
9 de Julio,52607.0,True,Avanzado,"Bromatología
Relaciones con la comunidad
Licencias
Tesorería
Proveedores
Ingresos públicos
Luz domiciliaria
Casa de tierras
Información al consumidor
Secretaría de Viviendo y Urbanismo
Habilitaciones Comerciales
Tasas Municipales | consulta tributaria
SEM (Estacionamiento medido)
Pagos Online
Trámites municipales","CAPS: Centros de Atención Primaria de la Salud - Urbanos (7) y Rurales (11).
Hospital Municipal “Enriqueta Dudignac” de Dudignac.
Hospital Municipal “Dr. Manuel Arce” de Facundo Quiroga.
Hogar de Ancianos Municipal “Santo Domingo de Guzmán”.
No encontré portal web ni turnos online","Centro Integrador Comunitario (C.I.C.)
Centro de Desarrollo Infantil (CDI) “Algún Día”
Centro de Desarrollo Social & Productivo
San Cayetano","Concientización de reciclado
Habilitación de Feedlots
Acopio de granos
Escuelas verdes
Eco Receptores
Planta de separación de residuos
Calendario Ambiental
Educación ambiental

Ordenanzas de reducción de bolsas plásticas y uso responsable de agroquímicos
Gestión Ambiental","App municipal ""Municipio Conectado""
Municipio conectado",Si,"Presupuesto de gastos anual
Boletin oficial
Gobierno Abierto",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Adolfo Alsina,17552.0,True,Básico,"Licencias de conducir
Construcción
Cloacas
Señales ganaderas
Guía de Trámites - Municipalidad de Adolfo Alsina","Centro preventivo de adicciones
Hospital Municipal General San Martín
Hospital Dr. Noe Yarcho
Hospital Dr. Demetrio C. Loyarte
Unidad Sanitaria San Miguel
Unidad Sanitaria Gascón
Unidad Sanitaria B. Illia
Unidad Sanitaria V. Goldberg
Turnos Médicos Online
Turnos para atención",Centro Integrador Comunitario en Rivera,"Listado de podadores autorizados & autorizaciones
Manuales online
Ambiente - Municipalidad de Adolfo Alsina","Centro de Monitoreo en Carhué
Seguridad - Municipalidad de Adolfo Alsina",No,"Portal de Gobierno Abierto y Transparencia
Portal de Gobierno Abierto y Transparencia Adolfo Alsina",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Baja,No Verificable - Texto descriptivo sin veredicto claro
Arrecifes,32215.0,True,Básico,"Intranet
Consutas tributarias
Licencias de conducir
Habilitación de comercio
Municipalidad de Arrecifes","Centro Médico Hospital Santa Francisca Romana
CAPS: 8 en total
Turnos Médicos Online
Turnos Web - Municipalidad de Arrecifes - Hospital Municipal Santa Francisca Romana","Centro Integrador Comunitario
","Solo noticias
MEDIOAMBIENTE – Municipalidad de Arrecifes","App <Alerta 911>
Solo noticias
SEGURIDAD PÚBLICA – Municipalidad de Arrecifes",No,"Boletines oficiales
Presupuestos anuales
Licitaciones
INFORMACIÓN PÚBLICA – Municipalidad de Arrecifes",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Ayacucho,21977.0,True,Básico,"Mapa de transporte público
Transporte Público Urbano
Consultas tributarias
Registros municipales
Municipalidad de Ayacucho |","Hospital Municipal Dr. Pedro Solanet
Turnos presenciales
Programas de Promoción y Prevención de la Salud Integral Adolescente
Salud | Municipalidad de Ayacucho","CENTRO DE DIA “PANAMBÍ”
NIDO (Núcleo de Innovación y Desarrollo de Oportunidades)
Contactos de centros educativos
Educación | Municipalidad de Ayacucho","PROGRAMA QUIERO mi ciudad + limpia
Sistema Unificado de Recolección de Residuos Sólidos Urbanos
5 Puntos Limpios
Solicitudes de trámites de arbolado (solo números de teléfono)
Ayacucho | Medio ambiente","Plataforma Multiagencia
(Prov. de Buenos Aires)
AYACUCHO SE INCORPORARA AL SISTEMA DE SEGURIDAD MULTIAGENCIA",Si,"Boletines oficiales
Presupuestos anuales
Recibos de sueldo
Boletín Oficial | Municipalidad de Ayacucho",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - No tiene
Balcarce,48982.0,True,Intermedio,"ARBal | Trámites de pagos online
Registros
Denuncias
Certificados
Habilitaciones
Mapa interactivo
Portal de Servicios | Modernizacion Balcarce","No tiene turnos online
Hospital Felipe A. Fossati","BECAS Yo Estudio
4 universidades
7 centros de formación terciaria
OFERTA ACADÉMICA - MUNICIPALIDAD DE BALCARCE","Mapas de barrido y recolección
Osebal SAPEM (Aguas de la ciudad)
Recolección y barrido - MUNICIPALIDAD DE BALCARCE",No encontré nada,Si,"Boletines oficiales
Licitaciones
Censo municipal
Escala salarial
TRANSPARENCIA FISCAL - MUNICIPALIDAD DE BALCARCE",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Bolívar,35563.0,True,Básico,"EMBO | Estacionamiento medido
Archivo histórico online
Pago de tasas
Certificados de discapacidad
Denuncias

Servicios y Trámites | Bolivar
Estacionamiento medido Bolivar
","No tiene página ni turnos online
Hospital Subzonal Dr. Miguel L. Capredoni","Orientación vocacional
Casa del estudiante
Ofertas académicas
Educación Bolívar Official: Instagram, Facebook | Linktree","Mapa de contenedores
Sistema de distribución de residuos
Horarios de recolección y barrido

Breve descripción de cómo y qué reciclar
Bolívar Verde, Bien Bolívar","Solo noticias
#SeguridadVial, Bien Bolívar",No,"Boletines oficiales
Licitaciones
Transparencia fiscal
Boletín Oficial, Bien Bolívar",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Brandsen,32448.0,True,Desconocido,"Usan Facebook e Instagram
No me carga su página
Municipio de Brandsen","Hospital Municipal Francisco Caram
Usan Facebook e Instagram
No cuenta con página ni turnos online",⎯,⎯,⎯,No,⎯,Baja,No Verificable - Información insuficiente,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Carlos Casares,23100.0,True,Básico,"Licencias
Habilitaciones
Becas
ReBa
Vencimientos
Tramites – Municipalidad de Carlos Casares","Hospital Municipal Dr. Julio Ramos
Gestión de diagnostico por imágen
Portal de Pacientes","Becas estudiantiles
Becas estudiantiles – Municipalidad de Carlos Casares","Programas ambientales: #MiEscuelaRecicla
Proyectos de fortalecimiento de producción artesanal
Subsecretaria de Producción y Ambiente (@produccionyambientecasares) • Instagram photos and videos","Solo noticias
SEGURIDAD: CASARES RECIBIÓ 10 NUEVAS UNIDADES MÓVILES PARA LA COMISARÍA LOCAL",No,"Datos
Boletines oficiales
Licitaciones
Transparencia fiscal
Organigrama
Ordenanzas
Gobierno Abierto | Carlos Casares",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
Carmen de Areco,26897.0,True,Desconocido,"No me carga su página
Carmen de Areco - Municipio",⎯,⎯,⎯,⎯,Quizás,⎯,Baja,No Verificable - Información insuficiente,Baja,No Verificable - Valor ambiguo (Quizás),0%,No Verificable - Vacío
Chacabuco,52729.0,True,Intermedio,"Habilitaciones
Expedientes
Tasas
OMIC
Reclamos
Trámites y Servicios | Ciudad de Chacabuco","Hospital Municipal “Nuestra Señora del Carmen”
Telemedicina
Turnos online
Turnos - Hospital Municipal","Poca información
Centro Universitario Municipal (Presencia UTN)
Aula Chacabuco
","Solicitud de poda
Programa ""Huerta Familiar"" (No tiene info en el link)
Huertas familiares
Arbolado Público - Solicitud de Permiso","Chacabuco Observa
Chacabuco Observa | Facebook
Chacabuco Observa | Instagram
Solo noticias
🔴 EL MUNICIPIO SUMÓ NUEVAS CÁMARAS DE SEGURIDAD #Chacabuco #Seguridad",No,"SIBOM
Ordenanzas
Organigrama
Gastos
Licitaciones
Gobierno Abierto | Ciudad de Chacabuco",Media,Verificado - Definición pendiente de estandarizar,Media,Verificado - Falta URL y fragmento,Media,Verificado - Indica turnos online pero falta URL y fragmento literal
